1 0.631260348454816 4 7
1 0.630407266580733 9.25 180
1 0.54630384023767 3 180
1 1.05943589736125 7.5 365
1 0.887396515521687 0.5 1
1 1.36767797821085 6.5 1
1 0.680997194140218 2.5 15
1 0.830328780633863 1.5 180
1 0.670121456991183 3 90
1 1.15911697273259 5.5 7
1 0.867440256348345 2 15
1 1.20087783511553 4 365
1 1.65752838700428 6 180
1 2.71671011064609 0.5 90
1 0.657088865700644 8.5 7
1 0.741255684566568 2 90
1 1.22446014497837 8 1
1 1.31912385534088 0.5 7
1 2.59246172678831 5.5 15
1 0.539655778760789 4.5 180
1 3.15052547850064 7 7
1 1.00098862104642 9.25 90
1 0.799086846207501 7.5 1
1 1.16065922156849 4 15
1 1.21742689864186 5 180
1 0.601542550706654 1.5 90
1 1.4319797023345 7.5 30
1 0.580149696848821 7 90
1 2.2661681802856 5.5 365
1 1.57682491144806 6.5 7
1 0.757954777000123 5 15
1 0.891786898573628 2.5 180
1 0.867729145000339 4 1
1 1.19357954776206 9.5 30
1 0.602785647337441 7.5 90
1 2.70538851298625 9 15
1 1.66438322875183 5.5 1
1 1.12904568636441 6 30
1 2.64065149372618 3.5 365
1 1.46704269484326 5 90
1 1.29117833063356 2 1
1 2.43037858903699 1.5 30
1 0.8604076137417 5 30
1 2.76328276524146 6.5 365
1 0.642848194591352 7.5 15
1 1.75964222483162 2 7
1 1.07450791576412 4 180
1 0.94478664653434 8.5 90
1 0.853032349798013 4.5 15
1 2.29100415221183 4 30
1 1.90566261005006 1.5 1
1 1.94300109124742 6.5 30
1 8.98739364778157 4.5 30
1 1.5277292355604 4 1
1 3.65254754814669 7.5 180
1 3.84685852457187 0.5 15
1 4.25012112493278 5.5 30
0 2.59730280027725 1 365
1 2.75844742724439 4 7
1 7.7515962079342 2 15
1 4.36771510809194 6 1
1 2.93290447810432 9 7
1 6.85098809277406 3.5 30
1 4.25613797828555 5.5 180
1 2.63461713198922 9 1
1 2.32313810961205 9.25 30
1 3.12054626215831 4.5 15
1 5.33986799267586 6 30
1 2.10464440585929 8 15
1 3.35083640358061 2.5 365
1 4.35023840106442 7 15
1 3.86365451695747 9.5 180
1 2.20935733593069 7 1
1 1.81907359414618 9 180
1 3.53120948350988 8.5 15
0 4.45454199676169 0.5 30
1 2.40952638260205 8 180
0 6.74212446360616 2 365
1 5.3150250777835 3.5 365
1 4.84923091318342 6.5 7
1 2.08657362055965 3 365
1 3.55915923439898 0.5 7
1 4.32216941192746 4 15
1 1.78096263014595 3.5 90
1 3.91380763999768 6 7
1 2.5937827056332 6.5 90
1 1.48867311963113 8.5 90
1 3.61809553852072 0.5 1
1 1.96881089263479 7.5 365
1 2.70827015466057 6.5 15
1 6.04540774205816 2 90
1 2.32177215226693 4.5 1
1 4.66068322016508 1 15
1 2.92010704273707 9.25 365
1 5.70430540695088 9.5 90
1 4.07113875562209 2 180
1 1.6817367732292 8.5 7
1 2.41673441109015 2.5 30
1 2.4896698911034 5 15
1 4.52232064830605 3.5 15
1 1.11921834034729 0.5 7
1 1.31789253160241 3 90
1 3.06610629713396 1.5 90
1 1.75508279510541 0.5 90
1 1.53685171739198 5.5 30
1 1.5559443293314 5 30
1 1.39152864963398 3 30
1 5.13461939600529 8 365
1 2.01679086062359 3 7
1 1.52772832996561 6 7
1 1.0347197674273 6 1
1 2.4341510462109 0.5 30
1 1.55973912478657 5.5 15
0 2.48011030294583 1 180
1 1.29605593028828 2 1
1 1.79894889207208 3.5 15
1 1.32623709697509 2 15
0 3.0845027990872 1 90
1 1.01291576799122 5.5 90
1 3.73429820736055 4 90
1 1.82046339914086 2 30
1 5.02378637334914 5 180
0 4.33927904622397 7.5 365
1 1.56209762746585 6.5 30
1 1.33575019735144 1 15
1 1.18033172385185 3.5 30
1 1.00751502928324 5 15
1 0.967876306152902 7.5 1
1 1.60432910366217 8 30
1 1.23407950325054 7.5 90
1 1.59260330334655 9.5 90
0 1.91959235607646 3 365
1 9.85098869650392 9 180
1 1.31046172376955 8.5 7
1 1.69262307576719 7 90
0 1.79122195069794 1.5 180
1 3.57691758524743 1.5 30
0 1.75407123204786 1.5 365
1 1.39300901532988 6 30
0 4.3739930781594 4.5 180
1 1.88705117735662 3 1
1 1.3285035295994 7.5 15
1 1.28454294765834 7 15
0 4.75308110163314 2.5 180
1 5.07849620928755 5 90
1 4.34938743227394 6 180
0 2.03522087002057 2 365
1 2.24006315102451 1 30
1 1.32851952864439 6.5 7
1 1.58933164691552 4 1
0 2.81051319243124 2 365
1 2.70628295089045 6 365
1 1.18574544291005 8 7
1 1.73843290734476 1.5 1
1 1.40133607229291 8.5 7
1 1.64000156971815 3.5 15
0 1.94815399546314 4.5 365
1 1.36387261730852 6 30
1 1.58941435900488 9.5 30
1 1.61079694931141 7.5 365
1 2.41758719109203 9.25 180
0 2.39864189127002 1 30
1 1.76429583767822 3.5 180
1 1.33157293381919 8.5 15
1 1.82023790297535 8 365
1 1.80879042592096 0.5 1
1 1.36263374684495 6 180
0 2.18343705049847 0.5 90
1 1.22001270868532 4.5 1
0 1.95416058526462 1 90
1 1.3377878132469 9.25 90
1 1.31651087709724 7 30
1 1.54656374945625 6.5 30
1 1.79662359498798 4 30
1 2.83566823990623 1.5 30
1 1.90900550760125 5.5 180
0 2.61528060989622 2.5 180
1 1.90385622582289 1.5 7
1 3.02253210754498 7.5 7
0 1.64533257664698 0.5 30
1 2.05702547321744 7.5 90
1 1.74707270062572 9 15
1 1.05353677292987 9.5 90
1 1.72379014669423 7.5 30
1 1.83327441856272 9.25 15
1 1.50936654295219 4 15
1 1.90262822264049 6.5 7
1 2.27604080665515 4 1
1 3.25340757298909 5.5 90
1 1.50536557093255 1 1
1 1.54638957102907 6 7
1 2.25255509487033 5 1
0 2.73543715917003 2.5 365
1 1.48829970764018 4 90
1 2.7905877238918 2.5 1
1 1.98988799149993 7.5 180
0 4.22254569164943 3.5 365
1 1.68053171209613 4 7
1 2.1450356884634 5 7
1 1.66567220948491 5 90
1 1.55306207218018 7 7
1 1.5826938797195 9.5 1
1 1.7218606198403 6 90
1 1.39190497004893 5 15
1 1.42622053633204 9 15
1 1.37290821692386 7 1
1 2.61500384577766 9.5 180
1 1.81323013930523 7 180
1 1.31927712661855 8 1
1 1.7872669138751 6.5 365
1 1.84852737505435 8.5 1
1 2.28153024519997 9.25 180
1 1.7836046709599 3 15
1 1.43587392128029 3 1
1 1.60035789277936 4.5 7
1 2.21131733280526 5 365
0 2.06154300811068 4 180
1 2.34989784841719 6 1
1 1.53262632202404 8 15
1 1.33372233847422 4 7
1 1.61753378790399 2.5 15
1 2.40633991844788 7.5 180
0 3.31278066026607 0 1
1 1.90521365498626 2 15
1 1.56265961184818 4 15
1 1.49040608272844 0.5 1
1 1.68157504217106 4.5 15
0 3.10390029474229 3 365
1 1.33010507364906 5 7
1 1.70587075772073 6.5 1
1 1.56965778012272 8.5 7
1 1.8741464728123 3.5 15
1 1.83501040231522 5 1
1 1.46277715861561 5 30
1 1.99872582201215 3.5 1
1 2.03048608939389 0.5 7
0 2.18773251257881 7 365
