1 0.631260348454816 4 7
1 1.19357954776206 9.5 30
1 4.03769347918569 8 30
0 2.56285562057747 0.5 365
1 1.69262307576719 7 90
0 2.06355671136407 2 180
1 1.75205716191704 2 7
1 1.48154327518932 9.5 7
1 1.70914963033465 9.25 7
1 1.60081884274132 6 7
0 2.91614881332953 2 90
1 1.28409364647814 6.5 180
1 0.948403031477938 5 365
1 1.39070804181392 2.5 30
1 4.68266653869068 6.5 7
0 1.64647023560246 2 90
1 1.65140033216449 4 7
1 2.34098174487008 6 30
1 6.2749666890013 1.5 90
1 3.70341599063249 8.5 365
0 1.76125963905542 3.5 180
0 1.15886159154434 5 180
1 1.34196235993295 3.5 1
1 2.04159664563485 6.5 1
1 1.99781779542718 5.5 7
0 2.62620456696277 5 30
1 0.655854656535666 9 1
1 0.900814591092058 2.5 365
1 1.55923482473008 7.5 15
1 2.15208507847274 9.25 15
1 2.07335515838349 4 90
1 4.50298834341811 9.25 7
1 1.81978051172337 8 7
0 0.652104247128591 3 180
1 4.29048134374898 8.5 30
1 6.29214584454894 7 180
1 0.697737951297313 8.5 90
1 0.951865016657393 6 180
1 2.67250298475847 6 180
0 4.28574986301828 1 30
1 6.4454127366771 4 180
1 1.43955226917751 7 90
1 1.92963846767088 7 180
1 1.63185312307905 0.5 1
1 0.486369598249439 7.5 90
1 0.537947387376335 2.5 30
1 2.96474935137667 8.5 1
1 2.3348939914722 5 30
1 1.4848333914415 7 7
1 1.40530352083442 7 30
0 2.66942725054105 7.5 180
1 1.83124727374525 6 15
1 1.45282029531972 8 30
0 1.74061071306187 1 90
0 1.69148862629481 2 30
0 1.39425330207996 3.5 365
1 2.49132591840316 2.5 1
0 2.43542654976045 4.5 180
1 0.996890785696451 8 7
1 1.58848280602251 3 365
0 1.77147063423763 0.5 30
1 1.50532641616883 2 30
1 1.10719242776395 9.25 1
1 1.14039944045362 9.5 30
1 1.85966984585048 9.5 7
1 0.507347341062086 7 365
1 3.05880438736494 8 1
1 1.32148024493654 8.5 365
0 0.884028864718857 4 30
1 2.03046371610253 1 1
1 4.20158964226721 2.5 15
1 2.56443439555005 4.5 15
0 3.30692170574912 4.5 180
0 1.92829131567851 1.5 90
1 2.08275213993056 7 15
1 2.64564720755516 8.5 15
1 1.11758812385233 9.5 7
1 1.62672139302867 4.5 30
0 2.38519292640558 9.5 180
0 2.88546973869961 0 1
1 1.51637690424104 2.5 1
1 2.0498980593984 2.5 15
0 3.14717374583597 2.5 180
1 1.09465624060431 7.5 90
1 2.86796913087392 3.5 7
0 1.6251426708468 9 90
1 2.70348613440183 9.25 90
0 2.25212976141756 1 90
1 1.4600245419515 4.5 365
1 0.710282715432186 7.5 90
1 0.849401167331962 9.25 365
1 1.34888210354256 8 1
1 1.53853131664801 8.5 7
1 1.81552150138305 5 30
1 0.581532916453398 9.25 30
1 1.70468152159628 2.5 30
1 0.728927266387473 2.5 15
1 0.82291601576253 8.5 30
1 1.18370002762094 7 90
1 1.87316317027944 3 15
1 0.89151433646839 9 7
1 1.41806197653932 4 7
1 2.44934426700638 7.5 90
1 6.8618135330471 3.5 90
1 3.2417411148781 3 7
1 1.9036817344313 2 1
1 1.84681098980945 5 30
1 1.75156707284623 6 7
1 0.820022911822889 4 7
0 1.58688443433493 0 1
0 3.21092521067476 1.5 365
0 3.06911391147878 2 365
1 1.98386847002621 8 180
1 1.66648705514126 7.5 15
1 1.22603733202959 8.5 180
1 1.19336644826535 9.5 365
0 1.79014581739102 1 180
0 2.16312982894669 0.5 7
1 1.7398063498531 8 365
1 2.25546122091669 5 30
1 1.79204298640798 6.5 90
0 3.85716890428466 0.5 7
1 2.61025364697707 1 1
1 1.55373225565381 7.5 7
1 2.05413386985538 1.5 7
1 2.78533127861147 2.5 7
1 1.95852078141797 4.5 90
0 2.17016326586054 0.5 90
1 1.274021001027 8 7
1 1.39400397561622 8.5 15
1 2.44981502975497 7 15
1 1.81903404931654 7 7
1 1.27655270573541 9 365
1 2.29119641619991 8.5 365
1 0.853575272021772 7.5 365
1 0.840864434740979 6 180
1 4.05638688858198 8 180
1 2.18018978562759 5.5 180
1 2.18526658968767 4.5 365
1 3.86767823586706 3 180
1 3.6870009886261 7 90
1 3.34815277683083 6 30
1 3.01853094553371 1 7
